2026-03-16 14:30:16 | INFO     | PortScan             | Starting FAST port scan on 127.0.0.1  |  ports: 8  |  speed: fast
2026-03-16 14:30:18 | DEBUG    | PortScan             | Port    22 — closed / filtered
2026-03-16 14:30:20 | DEBUG    | PortScan             | Port    80 — closed / filtered
2026-03-16 14:30:22 | DEBUG    | PortScan             | Port   443 — closed / filtered
2026-03-16 14:30:24 | DEBUG    | PortScan             | Port  8080 — closed / filtered
2026-03-16 14:30:26 | DEBUG    | PortScan             | Port  8443 — closed / filtered
2026-03-16 14:30:28 | DEBUG    | PortScan             | Port  3306 — closed / filtered
2026-03-16 14:30:28 | INFO     | PortScan             | Port  5432 — OPEN
2026-03-16 14:30:31 | DEBUG    | PortScan             | Port  6379 — closed / filtered
2026-03-16 14:30:31 | INFO     | PortScan             | Scan complete — 1 open port(s) found out of 8 probed
2026-03-16 14:30:31 | INFO     | PortScan             | ============================================================
2026-03-16 14:30:31 | INFO     | PortScan             |   SIMULATION SUMMARY — PortScan
2026-03-16 14:30:31 | INFO     | PortScan             | ============================================================
2026-03-16 14:30:31 | INFO     | PortScan             |   Target         : 127.0.0.1:80
2026-03-16 14:30:31 | INFO     | PortScan             |   Duration       : 14.21 s
2026-03-16 14:30:31 | INFO     | PortScan             |   Packets sent   : 8
2026-03-16 14:30:31 | INFO     | PortScan             |   Connections    : 8
2026-03-16 14:30:31 | INFO     | PortScan             |   Bytes sent     : 0
2026-03-16 14:30:31 | INFO     | PortScan             |   Errors         : 0
2026-03-16 14:30:31 | INFO     | PortScan             | ============================================================
2026-03-16 14:31:07 | INFO     | PortScan             | Starting FAST port scan on 127.0.0.1  |  ports: 8  |  speed: fast
2026-03-16 14:31:09 | DEBUG    | PortScan             | Port    22 — closed / filtered
2026-03-16 14:31:11 | DEBUG    | PortScan             | Port    80 — closed / filtered
2026-03-16 14:31:13 | DEBUG    | PortScan             | Port   443 — closed / filtered
2026-03-16 14:31:15 | DEBUG    | PortScan             | Port  8080 — closed / filtered
2026-03-16 14:31:17 | DEBUG    | PortScan             | Port  8443 — closed / filtered
2026-03-16 14:31:19 | DEBUG    | PortScan             | Port  3306 — closed / filtered
2026-03-16 14:31:19 | INFO     | PortScan             | Port  5432 — OPEN
2026-03-16 14:31:21 | DEBUG    | PortScan             | Port  6379 — closed / filtered
2026-03-16 14:31:21 | INFO     | PortScan             | Scan complete — 1 open port(s) found out of 8 probed
2026-03-16 14:31:21 | INFO     | PortScan             | ============================================================
2026-03-16 14:31:21 | INFO     | PortScan             |   SIMULATION SUMMARY — PortScan
2026-03-16 14:31:21 | INFO     | PortScan             | ============================================================
2026-03-16 14:31:21 | INFO     | PortScan             |   Target         : 127.0.0.1:80
2026-03-16 14:31:21 | INFO     | PortScan             |   Duration       : 14.22 s
2026-03-16 14:31:21 | INFO     | PortScan             |   Packets sent   : 8
2026-03-16 14:31:21 | INFO     | PortScan             |   Connections    : 8
2026-03-16 14:31:21 | INFO     | PortScan             |   Bytes sent     : 0
2026-03-16 14:31:21 | INFO     | PortScan             |   Errors         : 0
2026-03-16 14:31:21 | INFO     | PortScan             | ============================================================
2026-03-16 14:31:59 | INFO     | PortScan             | Starting FAST port scan on 127.0.0.1  |  ports: 8  |  speed: fast
2026-03-16 14:32:01 | DEBUG    | PortScan             | Port    22 — closed / filtered
2026-03-16 14:32:03 | DEBUG    | PortScan             | Port    80 — closed / filtered
2026-03-16 14:32:05 | DEBUG    | PortScan             | Port   443 — closed / filtered
2026-03-16 14:32:07 | DEBUG    | PortScan             | Port  8080 — closed / filtered
2026-03-16 14:32:09 | DEBUG    | PortScan             | Port  8443 — closed / filtered
2026-03-16 14:32:11 | DEBUG    | PortScan             | Port  3306 — closed / filtered
2026-03-16 14:32:11 | INFO     | PortScan             | Port  5432 — OPEN
2026-03-16 14:32:13 | DEBUG    | PortScan             | Port  6379 — closed / filtered
2026-03-16 14:32:13 | INFO     | PortScan             | Scan complete — 1 open port(s) found out of 8 probed
2026-03-16 14:32:13 | INFO     | PortScan             | ============================================================
2026-03-16 14:32:13 | INFO     | PortScan             |   SIMULATION SUMMARY — PortScan
2026-03-16 14:32:13 | INFO     | PortScan             | ============================================================
2026-03-16 14:32:13 | INFO     | PortScan             |   Target         : 127.0.0.1:80
2026-03-16 14:32:13 | INFO     | PortScan             |   Duration       : 14.17 s
2026-03-16 14:32:13 | INFO     | PortScan             |   Packets sent   : 8
2026-03-16 14:32:13 | INFO     | PortScan             |   Connections    : 8
2026-03-16 14:32:13 | INFO     | PortScan             |   Bytes sent     : 0
2026-03-16 14:32:13 | INFO     | PortScan             |   Errors         : 0
2026-03-16 14:32:13 | INFO     | PortScan             | ============================================================
2026-03-16 14:32:48 | INFO     | PortScan             | Starting FAST port scan on 127.0.0.1  |  ports: 8  |  speed: fast
2026-03-16 14:32:50 | DEBUG    | PortScan             | Port    22 — closed / filtered
2026-03-16 14:32:52 | DEBUG    | PortScan             | Port    80 — closed / filtered
2026-03-16 14:32:54 | DEBUG    | PortScan             | Port   443 — closed / filtered
2026-03-16 14:32:56 | DEBUG    | PortScan             | Port  8080 — closed / filtered
2026-03-16 14:32:58 | DEBUG    | PortScan             | Port  8443 — closed / filtered
2026-03-16 14:33:00 | DEBUG    | PortScan             | Port  3306 — closed / filtered
2026-03-16 14:33:00 | INFO     | PortScan             | Port  5432 — OPEN
2026-03-16 14:33:02 | DEBUG    | PortScan             | Port  6379 — closed / filtered
2026-03-16 14:33:02 | INFO     | PortScan             | Scan complete — 1 open port(s) found out of 8 probed
2026-03-16 14:33:02 | INFO     | PortScan             | ============================================================
2026-03-16 14:33:02 | INFO     | PortScan             |   SIMULATION SUMMARY — PortScan
2026-03-16 14:33:02 | INFO     | PortScan             | ============================================================
2026-03-16 14:33:02 | INFO     | PortScan             |   Target         : 127.0.0.1:80
2026-03-16 14:33:02 | INFO     | PortScan             |   Duration       : 14.20 s
2026-03-16 14:33:02 | INFO     | PortScan             |   Packets sent   : 8
2026-03-16 14:33:02 | INFO     | PortScan             |   Connections    : 8
2026-03-16 14:33:02 | INFO     | PortScan             |   Bytes sent     : 0
2026-03-16 14:33:02 | INFO     | PortScan             |   Errors         : 0
2026-03-16 14:33:02 | INFO     | PortScan             | ============================================================
2026-03-16 14:33:34 | INFO     | PortScan             | Starting FAST port scan on 127.0.0.1  |  ports: 8  |  speed: fast
2026-03-16 14:33:36 | DEBUG    | PortScan             | Port    22 — closed / filtered
2026-03-16 14:33:38 | DEBUG    | PortScan             | Port    80 — closed / filtered
2026-03-16 14:33:40 | DEBUG    | PortScan             | Port   443 — closed / filtered
2026-03-16 14:33:42 | DEBUG    | PortScan             | Port  8080 — closed / filtered
2026-03-16 14:33:44 | DEBUG    | PortScan             | Port  8443 — closed / filtered
2026-03-16 14:33:46 | DEBUG    | PortScan             | Port  3306 — closed / filtered
2026-03-16 14:33:46 | INFO     | PortScan             | Port  5432 — OPEN
2026-03-16 14:33:48 | DEBUG    | PortScan             | Port  6379 — closed / filtered
2026-03-16 14:33:48 | INFO     | PortScan             | Scan complete — 1 open port(s) found out of 8 probed
2026-03-16 14:33:48 | INFO     | PortScan             | ============================================================
2026-03-16 14:33:48 | INFO     | PortScan             |   SIMULATION SUMMARY — PortScan
2026-03-16 14:33:48 | INFO     | PortScan             | ============================================================
2026-03-16 14:33:48 | INFO     | PortScan             |   Target         : 127.0.0.1:80
2026-03-16 14:33:48 | INFO     | PortScan             |   Duration       : 14.15 s
2026-03-16 14:33:48 | INFO     | PortScan             |   Packets sent   : 8
2026-03-16 14:33:48 | INFO     | PortScan             |   Connections    : 8
2026-03-16 14:33:48 | INFO     | PortScan             |   Bytes sent     : 0
2026-03-16 14:33:48 | INFO     | PortScan             |   Errors         : 0
2026-03-16 14:33:48 | INFO     | PortScan             | ============================================================
2026-03-16 14:38:51 | INFO     | TrafficFlood         | Stop signal received — shutting down …
2026-03-16 14:38:52 | INFO     | TrafficFlood         | Flood complete — 25 requests sent, 25 errors
2026-03-16 14:38:52 | INFO     | TrafficFlood         | ============================================================
2026-03-16 14:38:52 | INFO     | TrafficFlood         |   SIMULATION SUMMARY — TrafficFlood
2026-03-16 14:38:52 | INFO     | TrafficFlood         | ============================================================
2026-03-16 14:38:52 | INFO     | TrafficFlood         |   Target         : 127.0.0.1:80
2026-03-16 14:38:52 | INFO     | TrafficFlood         |   Duration       : 10.89 s
2026-03-16 14:38:52 | INFO     | TrafficFlood         |   Packets sent   : 25
2026-03-16 14:38:52 | INFO     | TrafficFlood         |   Connections    : 0
2026-03-16 14:38:52 | INFO     | TrafficFlood         |   Bytes sent     : 0
2026-03-16 14:38:52 | INFO     | TrafficFlood         |   Errors         : 25
2026-03-16 14:38:52 | INFO     | TrafficFlood         | ============================================================
2026-03-16 14:39:36 | INFO     | TrafficFlood         | Stop signal received — shutting down …
2026-03-16 14:39:37 | INFO     | TrafficFlood         | Flood complete — 25 requests sent, 25 errors
2026-03-16 14:39:37 | INFO     | TrafficFlood         | ============================================================
2026-03-16 14:39:37 | INFO     | TrafficFlood         |   SIMULATION SUMMARY — TrafficFlood
2026-03-16 14:39:37 | INFO     | TrafficFlood         | ============================================================
2026-03-16 14:39:37 | INFO     | TrafficFlood         |   Target         : 127.0.0.1:80
2026-03-16 14:39:37 | INFO     | TrafficFlood         |   Duration       : 10.75 s
2026-03-16 14:39:37 | INFO     | TrafficFlood         |   Packets sent   : 25
2026-03-16 14:39:37 | INFO     | TrafficFlood         |   Connections    : 0
2026-03-16 14:39:37 | INFO     | TrafficFlood         |   Bytes sent     : 0
2026-03-16 14:39:37 | INFO     | TrafficFlood         |   Errors         : 25
2026-03-16 14:39:37 | INFO     | TrafficFlood         | ============================================================
2026-03-16 14:40:21 | INFO     | TrafficFlood         | Stop signal received — shutting down …
2026-03-16 14:40:22 | INFO     | TrafficFlood         | Flood complete — 25 requests sent, 25 errors
2026-03-16 14:40:22 | INFO     | TrafficFlood         | ============================================================
2026-03-16 14:40:22 | INFO     | TrafficFlood         |   SIMULATION SUMMARY — TrafficFlood
2026-03-16 14:40:22 | INFO     | TrafficFlood         | ============================================================
